Date,Sales
01-01-2016,266
01-02-2016,145.9
01-03-2016,183.1
01-04-2016,119.3
01-05-2016,180.3
01-06-2016,168.5
01-07-2016,231.8
01-08-2016,224.5
01-09-2016,192.8
01-10-2016,122.9
01-11-2016,336.5
01-12-2016,185.9
01-01-2017,194.3
01-02-2017,149.5
01-03-2017,210.1
01-04-2017,273.3
01-05-2017,191.4
01-06-2017,287
01-07-2017,226
01-08-2017,303.6
01-09-2017,289.9
01-10-2017,421.6
01-11-2017,264.5
01-12-2017,342.3
01-01-2018,339.7
01-02-2018,440.4
01-03-2018,315.9
01-04-2018,439.3
01-05-2018,401.3
01-06-2018,437.4
01-07-2018,575.5
01-08-2018,407.6
01-09-2018,682
01-10-2018,475.3
01-11-2018,581.3
01-12-2018,646.9
